Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,P(name|ethnicity),P(name),numerator,P
2020,MALE,latinx,Jeremiah,63,31,0.00047130641650021323,0.0001580686519754818,7.449876992358368e-08,9.627857998321735e-05
2020,MALE,latinx,Julian,63,31,0.00047130641650021323,0.0001580686519754818,7.449876992358368e-08,9.627857998321735e-05
2020,MALE,latinx,Anthony,62,32,0.0004638253622700511,0.00015555962575364876,7.215249976977971e-08,9.32463747683264e-05
2020,MALE,latinx,Jose,61,33,0.000456344308039889,0.00015305059953181572,6.98437699384366e-08,9.02626848368737e-05
2020,MALE,latinx,Kayden,61,33,0.000456344308039889,0.00015305059953181572,6.98437699384366e-08,9.02626848368737e-05
2020,MALE,latinx,Adriel,57,34,0.0004264200911192405,0.00014301449464448353,6.09842538376728e-08,7.881307794544549e-05
2020,MALE,latinx,Isaiah,57,34,0.0004264200911192405,0.00014301449464448353,6.09842538376728e-08,7.881307794544549e-05
2020,MALE,latinx,Jonathan,57,34,0.0004264200911192405,0.00014301449464448353,6.09842538376728e-08,7.881307794544549e-05
2020,MALE,latinx,Santiago,57,34,0.0004264200911192405,0.00014301449464448353,6.09842538376728e-08,7.881307794544549e-05
2020,MALE,latinx,Austin,56,35,0.0004189390368890784,0.0001405054684226505,5.886322561863401e-08,7.607196443118407e-05
2020,MALE,latinx,Andrew,55,36,0.0004114579826589163,0.00013799644220081745,5.6779737722056096e-08,7.337936620036092e-05
2020,MALE,latinx,Diego,55,36,0.0004114579826589163,0.00013799644220081745,5.6779737722056096e-08,7.337936620036092e-05
2020,MALE,latinx,Leo,55,36,0.0004114579826589163,0.00013799644220081745,5.6779737722056096e-08,7.337936620036092e-05
2020,MALE,latinx,Damian,53,37,0.00039649587419859206,0.00013297838975715134,5.2725382896282824e-08,6.813971558902935e-05
2020,MALE,latinx,Nathan,53,37,0.00039649587419859206,0.00013297838975715134,5.2725382896282824e-08,6.813971558902935e-05
2020,MALE,latinx,Xavier,52,38,0.00038901481996842993,0.0001304693635353183,5.075451596708749e-08,6.559266320852096e-05
2020,MALE,latinx,Jeremy,51,39,0.00038153376573826786,0.00012796033731348526,4.882118936035302e-08,6.309412611145082e-05
2020,MALE,latinx,Amir,50,40,0.00037405271150810573,0.00012545131109165222,4.692540307607941e-08,6.0644104297818934e-05
2020,MALE,latinx,Alan,49,41,0.0003665716572779436,0.00012294228486981918,4.5067157114266667e-08,5.8242597767625305e-05
2020,MALE,latinx,Elian,48,42,0.0003590906030477815,0.00012043325864798613,4.324645147491478e-08,5.5889606520869925e-05
2020,MALE,latinx,Emmanuel,48,42,0.0003590906030477815,0.00012043325864798613,4.324645147491478e-08,5.5889606520869925e-05
2020,MALE,latinx,Matias,48,42,0.0003590906030477815,0.00012043325864798613,4.324645147491478e-08,5.5889606520869925e-05
2020,MALE,latinx,Matteo,48,42,0.0003590906030477815,0.00012043325864798613,4.324645147491478e-08,5.5889606520869925e-05
