Year of Birth,Gender,Ethnicity,Child's First Name,Count,Rank,P(name|ethnicity),P(name),numerator,P
2011,FEMALE,latinx,LUCIA,20,68,0.00020430470002962418,6.380501188368347e-05,1.3035663813282557e-08,1.9375253882881315e-05
2011,FEMALE,latinx,LUNA,24,64,0.000245165640035549,7.656601426042015e-05,1.877135589112688e-08,2.790036559134909e-05
2011,FEMALE,latinx,LUZ,25,63,0.00025538087503703023,7.975626485460433e-05,2.0368224708253993e-08,3.0273834192002048e-05
2011,FEMALE,latinx,MADELINE,15,73,0.00015322852502221813,4.78537589127626e-05,7.3325608949714376e-09,1.0898580309120738e-05
2011,FEMALE,latinx,MADELYN,16,72,0.00016344376002369934,5.104400950694677e-05,8.342824840500837e-09,1.2400162485044042e-05
2011,FEMALE,latinx,MADISON,122,10,0.0012462586701807075,0.0003892105724904691,4.850570504922438e-07,0.0007209531969820136
2011,FEMALE,latinx,MAKAYLA,32,56,0.0003268875200473987,0.00010208801901389354,3.337129936200335e-08,4.960064994017617e-05
2011,FEMALE,latinx,MARIA,59,34,0.0006026988650873913,0.00018822478505686621,1.1344286433509144e-07,0.00016861314691577462
2011,FEMALE,latinx,MARIAH,33,55,0.0003371027550488799,0.00010527826960807772,3.548959473166176e-08,5.274912869614437e-05
2011,FEMALE,latinx,MARIANA,12,76,0.0001225828200177745,3.828300713021008e-05,4.69283897278172e-09,6.975091397837272e-06
2011,FEMALE,latinx,MARILYN,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,MARISOL,10,78,0.00010215235001481209,3.190250594184173e-05,3.2589159533206393e-09,4.843813470720329e-06
2011,FEMALE,latinx,MAYA,49,42,0.0005005465150725792,0.0001563222791150245,7.824657203922855e-08,0.0001162999614319951
2011,FEMALE,latinx,MEGAN,11,77,0.0001123675850162933,3.5092756536025905e-05,3.943288303517974e-09,5.861014299571598e-06
2011,FEMALE,latinx,MELANIE,109,12,0.0011134606151614519,0.0003477373147660749,3.8719180441402515e-07,0.0005754934784562822
2011,FEMALE,latinx,MELANY,14,74,0.00014301329002073694,4.466350831857842e-05,6.387475268508453e-09,9.493874402611844e-06
2011,FEMALE,latinx,MELISSA,50,41,0.0005107617500740605,0.00015951252970920865,8.147289883301597e-08,0.00012109533676800819
2011,FEMALE,latinx,MELODY,23,65,0.0002349504050340678,7.337576366623598e-05,1.723966539306618e-08,2.5623773260110533e-05
