NAME,CITY,STATE
PARKROSE MIDDLE SCHOOL,PORTLAND,OR
BOECKMAN CREEK PRIMARY SCHOOL,WILSONVILLE,OR
MAPLETON ELEMENTARY SCHOOL,MAPLETON,OR
EAGLE CAP INNOVATIVE HS,BAKER CITY,OR
HERMISTON HIGH SCHOOL,HERMISTON,OR
SISTERS HIGH SCHOOL,SISTERS,OR
CRANE UNION HIGH SCHOOL,CRANE,OR
POWELL VALLEY ELEMENTARY SCHOOL,GRESHAM,OR
KALAPUYA HIGH SCHOOL,EUGENE,OR
CAMAS RIDGE COMMUNITY ELEMENTARY,EUGENE,OR
CLACKAMAS WEB ACADEMY,CLACKAMAS,OR
NORTH POWDER CHARTER SCHOOL,NORTH POWDER,OR
BROTHERS ELEMENTARY SCHOOL,BROTHERS,OR
TWIN RIVERS CHARTER SCHOOL,EUGENE,OR
FALCON HEIGHTS,KLAMATH FALLS,OR
WARRENTON HIGH SCHOOL,WARRENTON,OR
BENSON POLYTECHNIC HIGH SCHOOL,PORTLAND,OR
VESTAL ELEMENTARY SCHOOL,PORTLAND,OR
BATTLE CREEK ELEMENTARY SCHOOL,SALEM,OR
MYRTLE POINT HIGH SCHOOL,MYRTLE POINT,OR
HARMONY ACADEMY,LAKE OSWEGO,OR
BEAVERCREEK ELEMENTARY SCHOOL,BEAVERCREEK,OR
SANDSTONE MIDDLE SCHOOL,HERMISTON,OR
SUTHERLIN VALLEY ONLINE ACADEMY,SUTHERLIN,OR
RIVERBEND HIGH SCHOOL,LA GRANDE,OR
CHILOQUIN HIGH SCHOOL,CHILOQUIN,OR
WESTRIDGE ELEMENTARY SCHOOL,LAKE OSWEGO,OR
MALABON ELEMENTARY SCHOOL,EUGENE,OR
INSIGHT SCHOOL OF OREGON PAINTED HILLS,MITCHELL,OR
ACADEMY OF ARTS AND ACADEMICS,SPRINGFIELD,OR
HERITAGE ELEMENTARY,WOODBURN,OR
NEAH-KAH-NIE HIGH SCHOOL,ROCKAWAY BEACH,OR
KENNEDY ELEMENTARY SCHOOL,MEDFORD,OR
WHITCOMB ELEMENTARY SCHOOL,MILWAUKIE,OR
GRANDHAVEN ELEMENTARY SCHOOL,MCMINNVILLE,OR
SIUSLAW MIDDLE SCHOOL,FLORENCE,OR
MCKAY CREEK ELEMENTARY SCHOOL,PENDLETON,OR
GLADSTONE HIGH SCHOOL,GLADSTONE,OR
MONUMENT SCHOOL,MONUMENT,OR
HUSKY ELEMENTARY SCHOOL,CORVALLIS,OR
BANDON SENIOR HIGH SCHOOL,BANDON,OR
DESTINATIONS ACADEMY,COOS BAY,OR
