NAME,CITY,STATE
LOMA VISTA ELEMENTARY,SALINAS,CA
LUTHER BURBANK MIDDLE,BURBANK,CA
BURBANK ELEMENTARY,MODESTO,CA
PRESCOTT,OAKLAND,CA
CERRA VISTA ELEMENTARY,HOLLISTER,CA
CESAR CHAVEZ CONTINUATION HIGH,COMPTON,CA
MOUNTAIN HIGH,PINECREST,CA
OAKVIEW HIGH (ALTERNATIVE),ANDERSON,CA
EDISON HIGH,FRESNO,CA
SAN RAMON ELEMENTARY,NOVATO,CA
DUVENECK ELEMENTARY,PALO ALTO,CA
LEWIS (ED C.) ELEMENTARY,DOWNEY,CA
SHERY (KURT T.) HIGH (CONTINUATION),TORRANCE,CA
RANCHO MIRAGE HIGH,RANCHO MIRAGE,CA
LAMPSON ELEMENTARY,GARDEN GROVE,CA
ELINOR LINCOLN HICKEY JR./SR. HIGH,SACRAMENTO,CA
JOHN C. FREMONT ELEMENTARY,MERCED,CA
MOUNTAIN VISTA ELEMENTARY,INDIO,CA
ADELANTE HIGH,KETTLEMAN CITY,CA
NILES ELEMENTARY,FREMONT,CA
CANOGA PARK ELEMENTARY,CANOGA PARK,CA
ODYSSEY CONTINUATION,SOUTH GATE,CA
INTERNATIONAL STUDIES LRNG CENTER AT LEGACY HIGH SCH COMPLEX,SOUTH GATE,CA
EARLY CHILDHOOD EDUCATION,LANCASTER,CA
EDEN AREA ROP,HAYWARD,CA
LOS ROBLES-RONALD MCNAIR ACADEMY,EAST PALO ALTO,CA
TORREY HILLS,SAN DIEGO,CA
MERCEY SPRINGS ELEMENTARY,LOS BANOS,CA
VALENCIA ELEMENTARY,UPLAND,CA
MCKINLEY ELEMENTARY,SAN FRANCISCO,CA
MARCUM-ILLINOIS UNION ELEMENTARY,EAST NICOLAUS,CA
JACK NORTON ELEMENTARY,HOOPA,CA
MATTOLE ELEMENTARY,PETROLIA,CA
WESTLAKE HILLS ELEMENTARY,WESTLAKE VILLAGE,CA
CREEKSIDE ELEMENTARY,MORENO VALLEY,CA
MENLO AVENUE ELEMENTARY,LOS ANGELES,CA
ELMWOOD ELEMENTARY,STOCKTON,CA
ELLA ELEMENTARY,OLIVEHURST,CA
HARLOE ELEMENTARY,ARROYO GRANDE,CA
KING ELEMENTARY,STOCKTON,CA
RIVERVIEW MIDDLE,BAY POINT,CA
CASTLE PARK ELEMENTARY,CHULA VISTA,CA
STEWART ELEMENTARY,PINOLE,CA
KINGSLEY ELEMENTARY,MONTCLAIR,CA
EMELITA STREET ELEMENTARY,ENCINO,CA
EL SEGUNDO HIGH,EL SEGUNDO,CA
SOLANA RANCH ELEMENTARY,SAN DIEGO,CA
MESA VERDE MIDDLE,MOORPARK,CA
LA JOLLA HIGH,LA JOLLA,CA
CESAR E. CHAVEZ ELEMENTARY,SALINAS,CA
PARKVIEW ELEMENTARY,CHULA VISTA,CA
ELK CREEK HIGH,ELK CREEK,CA
PHILADELPHIA ELEMENTARY,POMONA,CA
CCCOE SPECIAL EDUCATION PROGRAMS,ANTIOCH,CA
GEORGE KEY,PLACENTIA,CA
WOODBRIDGE,LODI,CA
NATOMAS PACIFIC PATHWAYS PREP ELEMENTARY,SACRAMENTO,CA
TULARE COUNTY COMMUNITY,VISALIA,CA
TRITON ACADEMY,CAMARILLO,CA
SAN LEANDRO HIGH,SAN LEANDRO,CA
GEORGE T. EGLING MIDDLE,COLUSA,CA
WARWICK ELEMENTARY,FREMONT,CA
