NAME,CITY,STATE
HILLCREST EL,PLAINVIEW,TX
PATTON SPRINGS SCHOOL,AFTON,TX
RIVER ROAD H S,AMARILLO,TX
YES PREP - NORTH CENTRAL,HOUSTON,TX
SAN JACINTO EL,BAYTOWN,TX
HARRIS MIDDLE,SAN ANTONIO,TX
GAINESVILLE J H,GAINESVILLE,TX
ZAPATA NORTH EL,ZAPATA,TX
POST EL,POST,TX
MERCEDES DAEP,MERCEDES,TX
CLEAR PATH ALTERNATIVE SCHOOL,WEBSTER,TX
GOLDEN RULE,DALLAS,TX
KNOWLTON EL,SAN ANTONIO,TX
IMPACT EARLY COLLEGE H S,BAYTOWN,TX
TATUM EL,FARMERSVILLE,TX
PECAN SPRINGS EL,AUSTIN,TX
YES PREP - SOUTHWEST,HOUSTON,TX
JOHN D SPICER EL,HALTOM CITY,TX
WASHINGTON HEIGHTS EL,FORT WORTH,TX
SOUTH TEXAS ISD RISING SCHOLARS ACADEMY,SAN BENITO,TX
SHAMROCK H S,SHAMROCK,TX
BROOKS ACADEMY OF SCIENCE AND ENGINEERING,SAN ANTONIO,TX
BEBENSEE EL,ARLINGTON,TX
A & M CONS H S,COLLEGE STATION,TX
SUCHMA EL,CONROE,TX
FAIRVIEW ACCELERATED,SAN ANGELO,TX
KARNES CITY J J A E P,FLORESVILLE,TX
ANNA MIDDLE,ANNA,TX
MERCER & BLUMBERG LRN CTR,SEGUIN,TX
MERIDIAN EL,MERIDIAN,TX
MARTHA TURNER REILLY EL,DALLAS,TX
BROWN MIDDLE,EL PASO,TX
MARTIN H S,LAREDO,TX
LOCKNEY DAEP,PLAINVIEW,TX
TRAVIS COUNTY DAY SCHOOL,AUSTIN,TX
RIVER OAKS EL,AUSTIN,TX
ELAINE S SCHLATHER INT,CIBOLO,TX
PSJA EARLY COLLEGE H S,SAN JUAN,TX
LA VEGA EL,WACO,TX
RESERVED FOR FUTURE USE,DALLAS,TX
CHINA SPRING INT,WACO,TX
BOWIE EL,DALLAS,TX
CHET BURCHETT EL,SPRING,TX
FISHER ELEMENTARY,PASADENA,TX
DAVID K SELLARS EL,FORT WORTH,TX
MADING EL,HOUSTON,TX
SAN MARCOS H S,SAN MARCOS,TX
NEW HOPE H S,LEANDER,TX
VANGUARD PICASSO,PHARR,TX
FORESTRIDGE EL,DALLAS,TX
JOHN F KENNEDY EL,PENITAS,TX
BLOSSOM EL,BLOSSOM,TX
KAZEN EL,LAREDO,TX
RICHLAND EL,RICHARDSON,TX
REAGAN COUNTY H S,BIG LAKE,TX
CHALLENGE ACADEMY,WACO,TX
TRAVIS MIDDLE,QUANAH,TX
RITA SMITH EL,WYLIE,TX
HECTOR P GARCIA EL,TEMPLE,TX
JOHN & OLIVE HINOJOSA EL,RIO GRANDE CITY,TX
SOUTHWEST KEY,COMBES,TX
TEXAS CITY J J A E P,DICKINSON,TX
ROQUE GUERRA JR EL,RIO GRANDE CITY,TX
PEETE EL,TYLER,TX
BRAZORIA CO JUVENILE DETENTION,ANGLETON,TX
STERLING H S,BAYTOWN,TX
MORRIS MIDDLE,HOUSTON,TX
MAYDE CREEK EL,HOUSTON,TX
ROCK PRAIRIE EL,COLLEGE STATION,TX
KLEIN ANNEX,KLEIN,TX
ROBBIN E L WASHINGTON INTERNATIONAL EL,EL PASO,TX
LUJAN-CHAVEZ EL,EL PASO,TX
MANVEL H S,MANVEL,TX
MINERAL WELLS/PALO PINTO COUNTY DAEP,MINERAL WELLS,TX
PYBURN EL,HOUSTON,TX
BROWNWOOD ACCELERATED H S,BROWNWOOD,TX
SAN JACINTO EL,AMARILLO,TX
LOVETT EL,HOUSTON,TX
LAKESIDE MIDDLE,LITTLE ELM,TX
JOHN C WEBB EL,NAVASOTA,TX
CHAPEL HILL EL,MOUNT PLEASANT,TX
